iter	Passed	Remaining
0	149	149286
1	151	75587
2	153	50908
3	154	38418
4	155	30963
5	156	26002
6	158	22449
7	159	19735
8	159	17613
9	160	15911
10	161	14512
11	162	13378
12	163	12399
13	164	11563
14	165	10839
15	165	10196
16	166	9633
17	167	9137
18	168	8691
19	169	8291
20	170	7926
21	170	7594
22	171	7287
23	172	7006
24	173	6754
25	174	6522
26	174	6302
27	175	6095
28	176	5901
29	176	5720
30	177	5553
31	178	5396
32	179	5252
33	180	5121
34	181	4991
35	181	4866
36	182	4748
37	183	4638
38	183	4533
39	184	4436
40	185	4348
41	186	4257
42	187	4170
43	188	4085
44	189	4017
45	189	3938
46	190	3865
47	191	3799
48	192	3734
49	193	3672
50	194	3612
51	194	3552
52	195	3494
53	196	3438
54	196	3384
55	198	3338
56	198	3289
57	199	3242
58	200	3199
59	201	3156
60	202	3114
61	203	3072
62	204	3036
63	205	3000
64	206	2970
65	207	2936
66	208	2898
67	208	2860
68	209	2829
69	210	2798
70	211	2768
71	212	2738
72	213	2706
73	213	2676
74	214	2648
75	215	2620
76	216	2596
77	217	2572
78	218	2545
79	219	2519
80	219	2492
81	220	2468
82	221	2443
83	221	2418
84	222	2393
85	223	2372
86	223	2348
87	224	2326
88	225	2306
89	225	2284
90	226	2264
91	227	2244
92	229	2234
93	229	2216
94	230	2198
95	231	2179
96	232	2160
97	232	2142
98	233	2124
99	234	2110
100	235	2095
101	235	2076
102	236	2060
103	237	2044
104	237	2028
105	238	2012
106	239	1997
107	239	1981
108	240	1968
109	241	1956
110	243	1946
111	243	1932
112	244	1919
113	245	1904
114	247	1905
115	248	1894
116	249	1885
117	250	1873
118	251	1859
119	253	1856
120	254	1847
121	255	1837
122	262	1869
123	263	1859
124	263	1847
125	264	1835
126	266	1830
127	267	1819
128	267	1807
129	268	1797
130	269	1786
131	270	1776
132	270	1765
133	271	1756
134	272	1747
135	273	1737
136	274	1727
137	274	1716
138	275	1706
139	276	1696
140	276	1687
141	277	1679
142	279	1672
143	279	1663
144	280	1655
145	281	1646
146	282	1637
147	282	1628
148	283	1619
149	284	1611
150	285	1603
151	286	1596
152	286	1588
153	287	1580
154	288	1571
155	289	1564
156	290	1561
157	291	1554
158	292	1545
159	292	1538
160	293	1530
161	294	1523
162	295	1516
163	296	1509
164	297	1503
165	298	1497
166	298	1490
167	299	1483
168	300	1476
169	300	1469
170	301	1463
171	302	1457
172	303	1452
173	304	1446
174	305	1440
175	306	1433
176	307	1427
177	307	1420
178	309	1417
179	310	1412
180	310	1404
181	311	1398
182	312	1392
183	312	1386
184	313	1381
185	314	1375
186	315	1372
187	316	1368
188	317	1362
189	318	1356
190	318	1350
191	320	1347
192	321	1344
193	322	1339
194	323	1333
195	323	1328
196	324	1323
197	325	1317
198	326	1313
199	327	1311
200	328	1306
201	329	1301
202	330	1296
203	331	1291
204	331	1286
205	333	1283
206	334	1281
207	335	1276
208	336	1271
209	336	1266
210	337	1261
211	338	1256
212	339	1253
213	340	1249
214	341	1245
215	342	1241
216	343	1237
217	343	1233
218	344	1228
219	345	1226
220	346	1222
221	347	1217
222	348	1213
223	349	1209
224	349	1204
225	351	1203
226	352	1200
227	353	1196
228	354	1192
229	354	1188
230	355	1183
231	356	1179
232	357	1177
233	358	1173
234	359	1170
235	360	1165
236	360	1161
237	361	1157
238	363	1157
239	364	1154
240	365	1150
241	365	1146
242	366	1142
243	367	1138
244	368	1134
245	368	1130
246	370	1128
247	371	1125
248	371	1121
249	372	1118
250	373	1114
251	374	1110
252	376	1110
253	376	1107
254	377	1103
255	378	1100
256	379	1096
257	380	1093
258	383	1095
259	384	1094
260	385	1091
261	386	1089
262	390	1093
263	391	1090
264	391	1086
265	392	1084
266	396	1089
267	398	1088
268	399	1086
269	401	1084
270	402	1083
271	403	1080
272	404	1077
273	405	1074
274	409	1078
275	410	1078
276	411	1075
277	414	1077
278	415	1074
279	416	1071
280	417	1068
281	418	1065
282	420	1064
283	421	1062
284	422	1059
285	423	1056
286	424	1053
287	427	1055
288	428	1054
289	429	1051
290	430	1048
291	431	1045
292	433	1045
293	435	1046
294	437	1044
295	439	1044
296	440	1043
297	441	1040
298	442	1037
299	444	1036
300	445	1034
301	446	1032
302	447	1029
303	448	1026
304	449	1024
305	450	1022
306	452	1020
307	452	1017
308	453	1014
309	454	1011
310	455	1009
311	457	1009
312	458	1006
313	459	1003
314	460	1001
315	461	998
316	462	996
317	464	995
318	465	993
319	466	990
320	467	987
321	468	986
322	469	984
323	470	982
324	471	979
325	472	977
326	473	975
327	474	972
328	475	969
329	476	966
330	476	963
331	477	960
332	478	957
333	478	954
334	479	952
335	480	949
336	481	946
337	481	943
338	482	940
339	483	937
340	483	934
341	484	932
342	485	929
343	486	926
344	486	923
345	487	921
346	488	918
347	488	915
348	489	912
349	490	910
350	490	907
351	491	904
352	491	901
353	492	899
354	493	896
355	493	893
356	494	890
357	495	888
358	495	885
359	496	882
360	497	880
361	497	877
362	498	874
363	499	872
364	499	869
365	500	867
366	501	865
367	502	863
368	503	860
369	503	858
370	504	855
371	505	853
372	506	850
373	506	848
374	507	845
375	508	843
376	508	840
377	509	838
378	510	836
379	514	839
380	519	844
381	521	844
382	523	843
383	524	841
384	526	840
385	527	838
386	529	838
387	530	837
388	532	836
389	533	834
390	534	832
391	535	830
392	536	829
393	537	827
394	538	824
395	539	822
396	539	820
397	540	818
398	541	816
399	542	814
400	544	812
401	545	810
402	545	808
403	546	806
404	547	804
405	548	802
406	550	801
407	551	799
408	552	797
409	553	797
410	554	795
411	556	793
412	557	792
413	558	790
414	560	789
415	561	788
416	563	787
417	564	786
418	565	784
419	567	783
420	568	781
421	569	779
422	570	777
